id,5CHF,2CHF,1CHF,0.5CHF,0.2CHF,0.1CHF,0.05CHF,2EUR,1EUR,0.5EUR,0.2EUR,0.1EUR,0.05EUR,0.02EUR,0.01EUR,OOD
L1010281,0,0,0,0,2,3,1,0,0,0,0,0,2,0,0,0
L1010298,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
L1010321,0,0,1,2,0,0,0,1,2,0,2,1,0,0,0,0
L1010310,0,0,1,1,0,0,1,2,0,1,0,0,0,1,0,0
L1010300,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0
L1010323,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
L1010277,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
L1010294,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
L1010287,0,1,1,0,0,0,1,0,0,0,0,2,1,1,1,0
L1010308,1,0,0,0,0,0,0,1,0,0,2,1,2,2,0,0
L1010279,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
L1010318,1,1,1,0,0,1,3,0,0,0,1,1,0,0,2,0
L1010311,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0
L1010288,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
L1010297,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
L1010283,0,0,0,1,0,0,0,1,0,2,1,0,1,0,0,0
L1010335,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0
L1010353,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
L1010367,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0
L1010356,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0
L1010370,1,0,0,1,1,2,2,2,1,1,0,1,2,2,1,0
L1010331,1,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0
L1010365,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
L1010352,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
L1010341,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
L1010345,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
L1010349,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
L1010361,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L1010325,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0
L1010369,1,0,1,1,1,0,0,0,1,2,1,1,0,0,0,0
L1010328,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
L1010395,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
L1010390,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
L1010378,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0
L1010373,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
L1010377,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
L1010375,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
L1010383,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
L1010388,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
L1010382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1010391,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
L1010436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L1010406,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1
L1010424,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
L1010454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
L1010405,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1
L1010419,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
L1010421,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
L1010408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L1010418,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L1010440,0,2,0,0,0,0,1,0,0,1,1,0,1,0,1,1
L1010413,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
L1010410,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
L1010422,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
L1010445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
L1010450,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2
L1010434,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
L1010446,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2
L1010501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L1010477,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
L1010483,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
L1010479,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
L1010500,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1
